,File,Category,skills,education
27,21550454.pdf,ACCOUNTANT,experience ounting ordering npayroll computer systems scheduling interacting general public multiple capacities skills n nmeticulous attention detail nprofessional communication nconflict resolution techniques nstrong problem solver n n n na ount reconciliations ncost ounting nflexible adaptive nintimate knowledge school system n nexperience nkindergarten teacher naugust current company name skill level skills use children,university university
28,13583538.pdf,ACCOUNTANT,experience nassistant teacher nnovember october company name skills n npeople skills nenthusiastic people person nproblem skills,university online university north dakota college
29,19918523.pdf,AUTOMOBILE,skills n ncurrent virginia postgraduate professional license ncritical thinker ncalm pressure ndecisive n nmediation advocacy talent ncurriculum development long term planning nhighly organized nexcellent work ethic n nexperience n skills nproficiency promethean board ncomputer literacy ninterpersonal skills communication n,college university university
30,15850434.pdf,ARTS,skills npurposeful lesson planning nfast learner ncreative problem solving nmanaging difficult behaviors ncoordinating multiple groups skills lessons students grades k skills n nteaching classroom management team building support coordinating services technology data collection data driven goal setting,university degree university college
31,21773106.pdf,ADVOCATE,skills development educating skills managing classroom diverse populations experience nworking special needs students skills achievements selected nhead teacher consecutive years row experience nteacher njuly june company name skills n nleadership motivation management speaking listening counseling teaching computer literacy training editing organizing development nimplementing typing,university college university alumni member n nprofessional affiliations n nmember chi sigma iota university st
32,21611212.pdf,ARTS,skills n npositive reinforcement methods nprofessional babysitter nanny nqualified tutor nunderstands developmental disorders nactive listener ninfant toddler preschool curriculum expert nskilled working special needs children n nreliable punctual nfriendly ncheerful energetic nbehavior management techniques nplayful nengaging nactive listening narts crafts games ncalm pressure nself experience n skills reading storytelling skills nbeing able work team help de,college
33,20399718.pdf,ADVOCATE,skills experience ninclusion teacher skills general education subjects including english reading writing skills nacademic consultation educator english functional instruction materials progress reading speech therapy teacher technical support vision nadditional information n nvolunteer experience community affiliations,degree university city state special education preschool nhandicapped children n n n nmaster science degree degree university city state special education hearing impaired nchildren nbachelor degree
34,20230207.pdf,ARTS,skills n nassessments n nmotivating students classroom management n ndevelop positive relationships students parents staff n ncommunity family involvement n nleadership n norganization n nrecruiting n nprofessional development n nadministering meetings n ncoordinating implementing activities n nachievements n nfundraising american cancer society years rfl coordinator n njoseph b whitehead coca cola scholars educator distinction award n noutstanding commitment education service award n nne division student council advisor year award n nadvisor year n nstudent council year award n nbreast cancer survivor n nprofessional experience n skills n nadministrative brochures budgets conferences hiring instructing leadership director managing marketing meetings motivating norganizing recruiting reporting safety supervising training programs workshops,degree university st university university university minnesota
35,20478831.pdf,ADVOCATE,skills talents order plan direct manage procurement food products equipment services meet requirements nand standards child nutrition program planning appropriate menus following dietary guidelines maintaining safe sanitary nenvironment skills n na omplishments nteam building leadership n ncreated collaborative classroom experiences nserved student mentor counselor students academic problems personal adjustments meeting guardians nreach solutions experience n skills help effectively facilitate collaboration amongst home campus teachers parents homebound ndepartment nprovide sense security achievement homebound students ncoordinate smooth transition homebound instruction back mainstream regular classes n n skills n nacademic planning administrative skills case management clerical documentation shorthand research lesson planning newsletter ndevelopment coding filing n neffective,university university university alumni association n
36,22056333.pdf,ARTS,experience nassistant teacher experience fort myers institute technology ncity state nearly childhood professional certification skills n ncpr nserve meals npreschool teacher ncomputer skills npublishing software skills,
37,25729119.pdf,ACCOUNTANT,skills n na ounts payable advertising bookkeeping budgets charts customer service financial reporting payroll spreadsheets n nprofessional summary n nenergetic teacher assistant specializing mathematics skills nkind empathetic nself,university phoenix online city state business administration n b university southern mississippi city state business nadministration management information systems
38,22884757.pdf,ADVOCATE,experience neducational office customer service environments skills ncreative lesson planning ninstructional best practices ncurriculum development nclassroom management nstandardized testing nlearner assessment ntechnology experience nenglish teacher skills diverse conversational activities skills group activities outings skills n nms office,degree social work tesol certified teaching english speakers nlanguages university maryland city state nstudy abroad yonsei university city south korea ncertifications n nteaching english speakers languages
39,22807104.pdf,ACCOUNTANT,experience retail management sales skills multi skills extensive retail sales experience skill improving store operations increasing top line sales reducing costs skills nstore opening closing procedures team skills reliable nflexible schedule n na omplishments n npromoted assistant manager months cashier experience nteacher naugust june company name nassistant manager njanuary current company name skills na ounting approach attention detail back skills conflict nresolution cooking credit client customer satisfaction customer service documentation english fat health safety standards inventory nmanagement mathematics microsoft excel windows word neat policies pos pricing knowledge store retail sales tables teaching ntops written,college n
40,27524018.pdf,ADVOCATE,experience n skill activities safety skill activities safety skills color shape number letter recognition personal hygiene social skills skills nadministrative arts basic coach customer service inspect instruction inventory laundry transport materials meal prep personnel nread safety scheduling shipping supervision teaching,university university university
41,23939133.pdf,ADVOCATE,experience nteacher skills n nchild care family servicing conferences first aid instructing lesson plans directing meetings mental health management information system npolicies program evaluation progress protocols maintain records recruitment safety staff development supervising teaching computing,college city state united states america nbachelor arts university jos city state nigeria nskills n nchild care family servicing conferences first aid instructing lesson plans directing meetings mental health management information system npolicies program evaluation progress protocols maintain records recruitment safety staff development supervising teaching computing
42,27798860.pdf,ARTS,skills experience nto client focused dynamic organization experience nengineering teacher skills noperating systems,university city state leadership nbachelor science university texas city state mechanical engineering nassociate applied science college city state drafting design ntechnology n n n nhigh school diploma
43,24240349.pdf,ADVOCATE,experience working corporations law firms large small businesses aspects business ndevelopment support skills ndetailed urate transcription abilities npublic speaking leadership skills nprofessional image neffective decision maker n nrequires little training nindependent worker team member nself experience social media sites maintenance n na omplishments nset department standards exceeding company daily goals experience n skills nadministrative duties nmicrosoft office ntranscription skills nproofing ads sales nmaintaining department budget nbusiness development nconference meeting scheduling ndrafting contracits npowerpoint presentations nonline research npreparing proposals nfile maintenance nrecord keeing npublic relations nscheduling travel nexcel spreadsheet preparation maintenance n,college
44,29486525.pdf,ARTS,experience teaching chemistry physics mathematics experience nteacher naugust june company name skills nadministrative content materials meetings policies problem solving progress teaching verbal communication skills written,university montevallo
45,24791126.pdf,AUTOMOBILE,experience university teaching areas experience nimplementation plans programs safety management systems food companies experience application lactic acid nbacteria experience nteacher skills nmicrobiolog,university teaching areas university austral chile valdivia chile university pamplona pamplona colombia university pamplona pamplona colombia university santander udes university santander university santander bucaramanga colombia january july university boyac university pamplona colombia university pamplona university pamplona ncolombia university austral chile n nprofessional affiliations n n n ncolombian association science technology foods
46,27126818.pdf,ARTS,experience nhistory teacher skills writing skills providing challenging curriculum gifted cluster self skills low achieving students skills technology experience teaching diverse history lessons large groups students devising lectures ncourse cohesive different learning styles,university university university college
47,23398843.pdf,ARTS,experience fast experience supporting nyoung children parents clients consultants high skills n nms office proficient skills nadministrative administrative support streamline arts art budgeting client clients document management fast problem,college college nskills nadministrative administrative support streamline arts art budgeting client clients document management fast problem
48,23628651.pdf,ARTS,experience spearheading special events projects initiatives corporate educational nsettings skills english spanish establish maintain key working relationships across naudiences skill highlights n nprofessional experience nteacher jul current ncompany name experience fused twelve years texas educator prepared position skills nacademic photoshop advertising cancer competitive conferences consultant content creative design creative problem solving client nrelations direct mail editing government illustrator director marketing plan marketing market materials mathematics microsoft office n word presenter producing progress project management public relations public speaking quick learner radio reading read nrobotics sales sales manager scripts speak spanish spanish teacher teaching technical writing video web site website n n n nadditional information n nadditional information know marketing experience fused twelve years texas educator prepared nposition,university university texas
49,25588694.pdf,ARTS,experience nspanish teacher skills n nstrong interpersonal skills n nsmart board notebook software n nmicrosoft office n nphotography editing slide shows n nadditional information n nsuny fredonia women,university madrid complutense nmaster science spring nazareth college nbachelor arts university new york college city n nspanish certification university new york college city n nbachelor science sociology spanish n n northeastern catholic junior high school nsuny fredonia college ambassador ncertifications npermanent certification secondary spanish inclusive education college ambassador
50,28086303.pdf,ARTS,experience n skill level skill level skills nacademic budget coaching conferences curriculum development educator instruction lesson planning lesson plans math ess norganizational development problem solving progress reading teacher teaching,college staten island college
51,28933005.pdf,ARTS,skills classroom management behavior modification individualized nsupport skill levels promote learning boost educational su ess experience nsubstitute teacher skills development students autism explicit instruction repetition entrench skills skills achieve life skills reading storytelling skills community awareness skills n nbehavior modeling nvideo conferencing nsmartboard technology nproficient google classroom skills development nteam collaboration npositive student engagement nbehavior modification nspecial needs students nmediation advocacy talent,college university university
52,22510753.pdf,ARTS,skills ntime management skills nverbal communication skills norganizational skills nteamwork skills nteaching skills nresourcefulness npatience nresponsibility nreliability ndetermination nmulti experience nteacher skills n narts conferences edit facsimile instruction leadership skills notes materials meetings ess excel microsoft office outlook powerpoint npublisher word multi skills photocopiers scanners switch teacher teaching teamwork telephones ntime management type typewriters verbal communication skills voice mail workshops,university city state n neducational leadership n nb university maryland eastern shore princess city state n nsociology n nskills n narts conferences edit facsimile instruction leadership skills notes materials meetings ess excel microsoft office outlook powerpoint npublisher word multi
53,29639533.pdf,ADVOCATE,experience teaching counseling mentoring people ndiverse backgrounds experience within single traditional urban public schools educational arena ncomprehensive understanding strategic teaching georgia milestone constructive nresponses n nflexible adaptive nexperienced differentiated ninstruction ncalm pressure ncritical thinker nexcellent speaker presenter n na omplishments n nincreased traditional within e experience nteacher njanuary current company name skills n nteam player effective collaborator n nprovenleader n nspecialist building relationships students parents n ndedicated n nhard working,college university college graduate school education
54,29797594.pdf,ARTS,skills n ne ducator skills enthusiasti c problem skills encouraging technology savvy eager learn communicates ngreat colleagues parents sets high clear expectations students eager teach loves teach students experience ncompany name teacher ncity state n nlong term substitute fifth grade skills nreading storytelling skills reading storytelling experience,university redlands elementary credentials university bachelor arts
55,28013287.pdf,ARTS,skills used nspeaking math planning leading computer skills communication staff parents students experience nteacher skills color recognition skills allowed children express ideas thought process classroom ndiscussions skills used microsoft word works excel customer service filing data input answering phone researching answers questions skills n na ounts receivable lesson planning listening math excel power point microsoft word microsoft works internet research problem nsolving speaking teacher,university university reading academy
56,27531694.pdf,ACCOUNTANT,skills demonstrated years teaching experience experience identifying nchildren experience working special needs students n ninteractive teaching skills development ngoal setting implementation n nachievements n nparent communication n nregularly met parents discuss student issues course weakness areas skills social skills test ntaking skills experience nteacher skills children nadolescents developmental behavioral disabilities skills children nadolescents developmental behavioral disabilities skills n na ounting ounts payables administrative aol auditing banking benefits budget business works content counseling clients customer nservice databases database email financial forms funds human resource internet explorer internet applications inventory invoicing lotus ndirector marketing materials mediation meetings mental health ess excel office microsoft office outlook power point nword netscape navigator payroll peachtree peachtree,university city state n nmasters human resource management n nbachelor science university pennsylvania city state n nbs social relations n ncertifications n npde dual certification special education k
57,28063132.pdf,ARTS,skills n nexcellent nanalytical skills nstrong verbal ncommunication ncomputer nproficient nmicrosoft npowerpoint nmicrosoft word nissue resolution nattention ndetail n nexcellent written verbal communication skillsexperience high volume high stress work environment nproductivefluent english twi energetic organized n na omplishments ntop representative department customer satisfaction surpassing experience nteacher jan mar ncompany name skills cultural influences coursework business ncommunications ninterests nmember apostolic church choir columbus oh skills n nsales software skills excellent written n nadditional information n nactivities,university
58,22632070.pdf,ARTS,experience addressing student needs ensuring proper student social experience working special needs students neffectively work parents ndifferentiated instruction nbehavior modification ninstructional best practices ngoal setting implementation n nprofessional experience n skills nacademic interpersonal skills economics english functional instructional design lesson plans managing materials math teacher team,university university new mexico university college
59,22551979.pdf,ACCOUNTANT,experience high experience student skills nlanguage cognition memory experience nteacher skills n nresults skills ntime management,university maine fort kent city state nskills n nresults
60,28642819.pdf,ADVOCATE,experience working special needs students neffectively work parents ninteractive teaching experience skills nlanguage cognition memory experience nlead teacher aug jun ncompany name skills n nbilingual speaking reading fluently english spanish demonstrate ability work well team handles details,college college college staten island
61,22968380.pdf,ACCOUNTANT,experience gained various education work civilian military experience nextracurricular leadership positions become proactive dedicated team member experience nlead teacher experience students skills nenthusiastic people person great organizational skills,university maryland city state nminor mathematics nacademic honors ncoursework business human resources n university maryland city australia study abroad program nhigh school diploma garrison forest school city state nmay university maryland college park tutor mentor university maryland division athletes college park maryland member new member education committee member nphilanthropic committee
62,29267293.pdf,ADVOCATE,experience njanuary july ncompany name city state teacher n n th grade spanish skills n n counselor academic native spanish speaker leadership workshops goal setting implementation effectively work parents time nmanagement,university texas pan american ncity state guidance counseling n nuniversity texas pan american ncity state psychology nbachelor arts ncertifications n texas school counselor
63,28772892.pdf,ADVOCATE,skills proven ability making connections nbuilding rapport school personnel students parents interagency teams community organizations skills nwork history nteacher skills nacademic avenue coaching documentation driving functional instruction leadership managing meetings office monitors organizing npersonnel progress rehabilitation services teacher teaching trainer vi vision workshops neducation nmasters,college florida state university
64,66683238.pdf,ARTS,experience nmath teacher math intervention teacher skills honed years efficiently effectively manage classroom develop lessons nplans assess student performance skill clear explanations ndemonstrations instructional target supported practice feedback independent mastery achieved skills manage people problems expectations skills affect fair prompt closure nproperty liability claims skills narbitration communication skills cpi creative problem solver customer services insurance law enforcement team lead logistics director nmanaging materials math mentor excel powerpoint ms word page sales development scheduling supply chain teacher teaching,
65,58665241.pdf,ADVOCATE,skills classroom work marking period experience nenglish teacher oct jun ncompany name skills foster nfun engaging learning environment,university university university
66,29930479.pdf,CONSULTANT,experience nstandardized testing niep familiarity n nexperience n skills n ncomputer proficiency microsoft word excel power point,college college bayshore new york june nbachelor science college college new york new york september ncertifications n n university n n
67,51209395.pdf,ARTS,skills n nstrong communication skills nmicrosoft office nstaff motivator n ncommitment quality service nprofit enhancement nemployee hiring retention n nwork history npreschool teacher february august ncompany name,college current city state nassociate applied science university city state nbusiness
68,58708773.pdf,AUTOMOBILE,skills ncomputer literate drivers listening natural packaging quality rapport teaching nexperience nsubstitute teacher,college online city state business management nassociate applied science college online city state criminal justice nassociate applied science college technology city state automotive technology
69,34689720.pdf,CONSTRUCTION,experience music experience learn retain key music knowledge way learn best experience n skills n ncorporate trainer member ge capital president,university sterling college college university college credits toward music education n naffiliations n nmember kmea
70,33704389.pdf,ARTS,experience elementary level teaching combined b skills expertise eager become key member team skill sets prepare students compete students nationally internationally experience ncompany name august current teacher ncity state n nimplemented diverse approaches ensure understanding course material overall academic su ess skills nacademic charts delivery equity instruction lesson planning math microsoft office progress reporting,college understand delicate balance needed make learning inclusive university city state usa elementary education university bachelor arts university band southwest region horn ensemble university band southwest region horn ensemble
71,49285644.pdf,ARTS,skills nrelationship development maintenance abilities nstrong verbal written communication skills nengaging encouraging motivating n nprepare present information logically nmicrosoft office suite ninformation management edi systems nexceptional attention detail n nexperience nteacher oct current ncompany name skills nmicrosoft office,college saint scholastica degree status university
72,36206485.pdf,DESIGNER,skills children parents staff experience nteacher skills use children skill level skills resolved student problems timely sensitive conferral parents skills nacademic art interpersonal skills instruction lesson plans notes materials meetings powerpoint camera progress teaching training programs nmicrosoft excel microsoft office,university city state nenglish nsocial studies nprofessional affiliations nmississippi department education jackson ms renewed
73,35421497.pdf,ARTS,experience nteacher current company name city state n ncreate classroom environment conducive learning growing experience st grade classroom collaborating cooperating teacher staff members nto plan schedule lessons encourage learning skill level skills n ncreative lesson planning hands,college city state minor psychology college city state liberal arts nexperience nteacher current company name city state n ncreate classroom environment conducive learning growing
74,34033933.pdf,APPAREL,experience working various industries capable napplying distinct skills strategies achieve professional goals skills nproblem solving skills n nmotivated passionate organized able manage complete nmultiple tasks duties n n well practiced administrative support experience nworking customer service year n team oriented developed career athlete ncollegiate athlete n nexperience nsubstitute teacher experience nin education broward county experience students skills received consistent positive feedback skills organization attention detail multi experience nhealthcare industry skills nadministrative support scheduling appointments approach arts attention detail billing communication skills customer service dependable ndiagnosis inventory listening merchandising microsoft excel outlook powerpoint word multi skills receiving reception retail sales structured teacher phone written communication skills nadditional information n naffiliations,college college
75,34465087.pdf,ACCOUNTANT,skills nactive listening skills nseasoned conflict resolution nsharp problem solver ncourteous demeanor nlarge cash skills n nmarkdown experience nteacher skills n ncash handlingprofessional friendlycareful active listenermulti,university city state nprofessional affiliations n nchild development association grove way roswell georgia
76,32067700.pdf,ARTS,skills n nms office ninterpersonal communication nplanning coordination nbasic ninterpersonal ninterpersonal communication ncustomer relations ncustomer satisfaction n nenglish nmath nms office nneat npackaging nrapport nsafety nsales nselling nteaching nphone nturkish n nwork history n,university university university university college indiana
77,34745915.pdf,ARTS,experience nteacher experience nbuilt customer confidence actively listening concerns giving appropriate feedback experience nbuilt customer confidence actively listening concerns giving appropriate feedback experience nbuilt customer confidence actively listening concerns giving appropriate feedback skills n norganizational skills nproblem,university city state united states n nhistory
78,58105060.pdf,ARTS,experience provide highest level education student skills nword excel powerpoint skills using media tools teaching purposes nprezi presentations youtube video creation wiki pages mathematica popplet n nmanaging classroom diverse populations nstrong collaborator ntechnological instruction neffective time management n ntailoring ncurriculum plans npositive learning nenvironment nclassroom ndiscipline nstudent nmotivation n nmanaging classroom diverse populations nstrong collaborator ntechnological instruction neffective time management n ntailoring curriculum plans npositive learning environment nclassroom discipline nstudent motivation n nwork history nmath teacher skills taught one lesson end semester differentiated nmaterials meet ell students skills narabic balance billing cashier charts customer service english focus managing materials math mathematica meetings microsoft nprograms excel office powerpoint word presentations purchasing quickbooks teaching teacher phone video,university southern california university california
79,45286020.pdf,ADVOCATE,experience working special needs students n nmotivating students ninteractive nteaching experience ncompany name january current teacher ncity state n n subject skills naverage computer literate ncan apply cpr ncan apply varied teaching skills n,university master arts university math education city philippines units nphilippine normal university master arts
80,31552617.pdf,ARTS,experience working special needs students n nknowledgeable distance learning techniques n n goal setting n nstrong communication skills n nms office n ndeadline experience naugust nto ndecember ncompany name city state teacher n nteaching variety asynchronous courses,university city state united states master science college honor society n university city state united states bachelor arts
81,38750659.pdf,ADVOCATE,skills online training variety naudiences experience ncompany name january january teacher ncity state n nperformed regular classroom instruction based departmentalized third grade curriculum skills nadobe photoshop adobe premier benefits communication skills conferences curriculum development flash human resource instruction nlesson planning lesson plans materials microsoft office office outlook powerpoint microsoft words needs assessment peoplesoft nprogress proposal writing quality sales training sound supervisor training material training programs,university diploma instructional design city state instructional design ntexas university master degree university master degree college bachelor science university virgin islands bachelor science
82,62184086.pdf,ARTS,skills ncharts excellent communication conferences conflict resolution critical thinking focus instruction instructional design lesson planning nmanaging meetings office problem solving processes progress teacher teaching time management written nexperience nteacher naugust march company name,university university university
83,36569713.pdf,ARTS,skills ncheerful energetic n nqualified tutor ncharting recordkeeping npositive reinforcement methods nskilled working special needs children n napproachable ncomplex problem solver n nexperience nteacher naugust january company name skills proficiency microsoft office capable integrating programs coursework taught sound decision maker giving nrecommendations opinions school management upon requests discipline students setting basic class rules encouraging nstudent feedback patience encouraging students express discomforts catering timely manner giving personalized nattention students time management breaking grading material small groups order evaluate timely structuring tasks based non priorities proficiency mathematics science years teaching experience mathematics science purposeful nlesson planning making flexible lesson plans based promoting students skills n nbasic lesson planning lesson plans mathematics microsoft office express fast learner self,college education college education university university
